Skill,Almaty,Astana,Other
Ci/Cd,873914.0,897920.0,
Docker,831891.0,837885.0,
Git,728083.0,807466.0,401792.0
Java,852885.0,969216.0,337102.0
Javascript,681825.0,711518.0,307237.0
Linux,724737.0,849843.0,488846.0
Postgresql,807402.0,860282.0,
Python,852789.0,831787.0,
Redis,879158.0,872424.0,
Rest Api,658505.0,665700.0,
